Jan-65,13
Feb-65,54
Mar-65,38
Apr-65,33
May-65,22
Jun-65,32
Jul-65,21
Aug-65,34
Sep-65,28
Oct-65,17
Nov-65,27
Dec-65,20
Jan-66,12
Feb-66,27
Mar-66,23
Apr-66,21
May-66,22
Jun-66,27
Jul-66,12
Aug-66,35
Sep-66,12
Oct-66,13
Nov-66,13
Dec-66,17
Jan-67,36
Feb-67,18
Mar-67,23
Apr-67,19
May-67,12
Jun-67,22
Jul-67,15
Aug-67,24
Sep-67,24
Oct-67,17
Nov-67,27
Dec-67,18
Jan-68,23
Feb-68,20
Mar-68,16
Apr-68,13
May-68,49
Jun-68,31
Jul-68,23
Aug-68,40
Sep-68,26
Oct-68,24
Nov-68,19
Dec-68,21
Jan-69,26
Feb-69,21
Mar-69,30
Apr-69,31
May-69,17
Jun-69,18
Jul-69,22
Aug-69,62
Sep-69,37
Oct-69,24
Nov-69,14
Dec-69,21
Jan-70,25
Feb-70,33
Mar-70,26
Apr-70,42
May-70,27
Jun-70,33
Jul-70,22
Aug-70,27
Sep-70,19
Oct-70,22
Nov-70,33
Dec-70,36
Jan-71,34
Feb-71,28
Mar-71,28
Apr-71,26
May-71,36
Jun-71,18
Jul-71,64
Aug-71,36
Sep-71,39
Oct-71,34
Nov-71,18
Dec-71,25
Jan-72,32
Feb-72,24
Mar-72,31
Apr-72,28
May-72,31
Jun-72,23
Jul-72,25
Aug-72,40
Sep-72,44
Oct-72,29
Nov-72,35
Dec-72,46
Jan-73,23
Feb-73,32
Mar-73,40
Apr-73,28
May-73,22
Jun-73,52
Jul-73,38
Aug-73,37
Sep-73,35
Oct-73,18
Nov-73,39
Dec-73,37
Jan-74,33
Feb-74,33
Mar-74,28
Apr-74,21
May-74,37
Jun-74,29
Jul-74,28
Aug-74,36
Sep-74,30
Oct-74,35
Nov-74,29
Dec-74,22
Jan-75,27
Feb-75,25
Mar-75,29
Apr-75,33
May-75,29
Jun-75,39
Jul-75,51
Aug-75,32
Sep-75,30
Oct-75,50
Nov-75,36
Dec-75,31
